campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30110 -- CLAS-Psychology,CLAS-Psychology,R25-1043449,PROFESSOR,Regular Faculty,100,"$136,159.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30214 -- CEDC-Bioengineering,CEDC-Bioengineering,R25-1043452,PROFESSOR,Regular Faculty,100,"$158,141.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30214 -- CEDC-Bioengineering,CEDC-Bioengineering,R25-1043452,PROFESSOR,Regular Faculty,100,"$1,406.00",1
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30107 -- CLAS-Philosophy,CLAS-Philosophy,R25-1043476,SENIOR INSTRUCTOR,Regular Faculty,80,"$57,295.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30073 -- CEDC-Civil Engineering,CEDC-Civil Engineering,R25-1043484,PROFESSOR,Regular Faculty,100,"$158,732.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30073 -- CEDC-Civil Engineering,CEDC-Civil Engineering,R25-1043484,CHAIR,Administrative Faculty,2.5,"$15,873.00",1
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30073 -- CEDC-Civil Engineering,CEDC-Civil Engineering,R25-1043484,PROFESSOR,Regular Faculty,100,"$7,055.00",2
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30073 -- CEDC-Civil Engineering,CEDC-Civil Engineering,R25-1043484,DIRECTOR-FACULTY,Administrative Faculty,2.5,"$15,000.00",3
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30108 -- CLAS-Physics,CLAS-Physics,R25-1043497,ASSOCIATE PROFESSOR,Regular Faculty,100,"$98,497.00",0
CU Denver,D0020 -- D-CAM-DEAN OF ARTS & MEDIA,30120 -- CAM-Visual Arts,CAM-Visual Arts,R25-1043540,ASSOCIATE PROFESSOR,Regular Faculty,100,"$89,932.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30107 -- CLAS-Philosophy,CLAS-Philosophy,R25-1043551,PROFESSOR,Regular Faculty,100,"$111,360.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30243 -- CLAS - Interdisciplinary Studi,CLAS - Interdisciplinary Studi,R25-1043551,DIRECTOR-FACULTY,Administrative Faculty,2.5,"$11,136.00",1
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30114 -- CAP-Architecture Department,CAP-Architecture Department,R25-1043577,PROFESSOR,Regular Faculty,100,"$119,126.00",0
CU Denver,D0022 -- D-Executive Programs,30126 -- EPGM-Business,EPGM-Business,R25-1043586,LECTURER,Other Faculty,100,"$8,000.00",5
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1043601,INSTRUCTOR,Regular Faculty,100,"$106,329.00",0
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1043601,INSTRUCTOR,Regular Faculty,2.5,"$45,000.00",1
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1043601,INSTRUCTOR,Regular Faculty,2.5,"$1,000.00",2
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1043601,INSTRUCTOR,Regular Faculty,10,"$9,282.00",3
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30077 -- CEDC-Computer SC & Engineering,CEDC-Computer SC & Engineering,R25-1043609,PROFESSOR,Regular Faculty,100,"$133,473.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30077 -- CEDC-Computer SC & Engineering,CEDC-Computer SC & Engineering,R25-1043609,PROFESSOR,Regular Faculty,5.63,"$2,500.00",1
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1043620,LECTURER,Other Faculty,22.5,"$5,250.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30106 -- CLAS-Mathematics,CLAS-Mathematics,R25-1043632,ASSOCIATE PROFESSOR,Regular Faculty,100,"$94,575.00",1
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30096 -- CLAS-Economics,CLAS-Economics,R25-1043637,LECTURER,Other Faculty,22.5,"$5,424.00",0
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30114 -- CAP-Architecture Department,CAP-Architecture Department,R25-1043643,PROFESSOR,Regular Faculty,100,"$139,700.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30094 -- CLAS-Chemistry,CLAS-Chemistry,R25-1043670,LECTURER,Other Faculty,30,"$6,667.00",0
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30177 -- CAP-Urban & Regional Planning,CAP-Urban & Regional Planning,R25-1043675,LECTURER,Other Faculty,22.5,"$5,730.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30104 -- CLAS-History,CLAS-History,R25-1043693,LECTURER,Other Faculty,22.5,"$5,424.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30160 -- CLAS-Health&BehavioralSciences,CLAS-Health&BehavioralSciences,R25-1043695,PROFESSOR,Regular Faculty,100,"$117,669.00",0
