campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-U of Colo Cancer Center,R25-1008442,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$61,420.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-U of Colo Cancer Center,R25-1008443,RESEARCH SERVICES SENIOR PROF,Univ Staff - Research Services,100,"$70,742.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-AN Adult GeneralOperations,R25-1008444,INSTRUCTOR,Regular Faculty,100,"$225,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-COHO CTR GENERALOPERATIONS,R25-1008450,BUSINESS SERVICES SENIOR PROF,Univ Staff - Business Services,100,"$78,971.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-ORTHO GENERAL OPERATIONS,R25-1008452,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$50,198.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-ORTHO GENERAL OPERATIONS,R25-1008453,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$51,750.00",0
CU Anschutz,H0115 -- H-SDM-SCHOOL OF DENTAL MEDICIN,H0126 -- H-SDM-ADMIN & ACADEMIC SUPPORT,SDM-Student & Alumni Affairs,R25-1008460,PROGRAM ASSISTANT I,US-Auxilliary Funding (CS),100,"$66,113.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO COMM PRC COV POOL,R25-1008471,HEALTH CARE ENTRY PROFESSIONAL,Univ Staff - Healthcare,80,"$61,733.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-PUL GENERAL OPERATIONS,R25-1008479,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$55,372.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-Pathology,R25-1008480,LABORATORY TECHNOLOGY I,US-Auxilliary Funding (CS),100,"$53,300.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-EM MED CLINICAL,R25-1008489,HR PRINCIPAL PRO,Univ Staff - Human Resources,100,"$82,800.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-SRG-Surg Onc Clinical,R25-1008490,INSTRUCTOR,Regular Faculty,75,"$98,078.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-ORTHO GENERAL OPERATIONS,R25-1008499,ADMIN ASSISTANT I,US-Auxilliary Funding (CS),40,"$17,264.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PM&R PHYSICAL THERAPY,R25-1008536,LECTURER,Other Faculty,2.5,"$2,184.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PM&R PHYSICAL THERAPY,R25-1008538,LECTURER,Other Faculty,2.5,"$2,184.00",0
CU Anschutz,H0132 -- H-CON-College of Nursing,H0147 -- H-CON-Dean College of Nursing,CON-DEAN ADMINISTRATION,R25-1008570,ASSISTANT TEACHING PROFESSOR,Regular Faculty,100,"$108,000.00",0
CU Anschutz,U0028 -- U-ADM-VC for Research,U0029 -- U-ADM-VCR OLAR,CSA-VCR OLAR CLAC Operations,R25-1008573,MATERIALS HANDLER I,US-Auxilliary Funding (CS),100,"$44,075.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Neonatology-GenOps,R25-1008587,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$55,620.00",0
CU Anschutz,H0115 -- H-SDM-SCHOOL OF DENTAL MEDICIN,H0127 -- H-SDM-ACADEMIC PROGRAMS,SDM-Dept Restorative Dentistry,R25-1008614,ASST PROFESSOR CLINICAL (C/T),Clinical Faculty,100,"$163,840.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Devl Biology-GenOp,R25-1008620,POST-DOCTORAL FELLOW,Other Faculty,100,"$65,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-Gastroenterology,R25-1008628,RESEARCH SERVICES SENIOR PROF,Univ Staff - Research Services,100,"$56,650.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO ADMINISTRATION,R25-1008632,IT PRINCIPAL PROF,Univ Staff - Information Tech.,100,"$84,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-AN Res General Operations,R25-1008636,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$51,287.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Nutrition-SalSvr,R25-1008639,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,232.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH CPMH SpPgm/Gift,R25-1008640,HEALTH CARE MANAGER,Univ Staff - Healthcare,100,"$98,605.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-BoneMarrow Transplant,R25-1008643,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$51,854.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - AHWC,R25-1008648,HEALTH CARE PROFESSIONAL,Univ Staff - Healthcare,100,"$80,340.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - ORTHOPEDICS,R25-1008650,HEALTH CARE PROFESSIONAL,Univ Staff - Healthcare,100,"$61,710.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-GIM,R25-1008654,CLINICAL INSTRUCTOR,Clinical Faculty,5,"$4,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-BDC Basic Research,R25-1008677,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,652.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-SRG-RS PLAS Clinical,R25-1008678,INSTRUCTOR,Regular Faculty,100,"$127,213.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-U of Colo Cancer Center,R25-1008701,ACADEMIC SERVICES SENIOR PROF,Univ Staff - Academic Services,100,"$64,495.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-U of Colo Cancer Center,R25-1008702,PROGRAM ASSISTANT I,US-Auxilliary Funding (CS),100,"$57,912.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-Cardiology,R25-1008706,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$57,650.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Devl Biology-GenOp,R25-1008719,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$54,298.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-FM GENERAL OPERATIONS,R25-1008733,INSTRUCTOR/FELLOW,Administrative Faculty,100,"$61,008.00",0
CU Anschutz,U0028 -- U-ADM-VC for Research,U0029 -- U-ADM-VCR OLAR,CSA-VCR OLAR CLAC Operations,R25-1008739,ANIMAL CARE I,US-Auxilliary Funding (CS),100,"$43,050.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - OB-GYN,R25-1008750,HEALTH CARE TECH I,US-Auxilliary Funding (CS),100,"$45,319.00",0
CU Anschutz,H0401 -- H-CSPH - Colo School Pub Hlth,H0411 -- H-CSPH-Departments,CSPH-EOH General Op,R25-1008751,PROFESSIONAL RESEARCH ASST,Research Faculty,50,"$28,500.00",0
CU Anschutz,U0006 -- U-ADM ADMINISTRATN AND FINANCE,U0107 -- U-ADM AF Executive VC,ADM AVCFM BMO Anschutz,R25-1008768,PIPE/MECH TRADES I,"Class Staff-Labor,Trades&Crfts",100,"$56,208.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-GIM,R25-1008865,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$51,750.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-BIOMED Informatics Gen Ops,R25-1009199,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$54,855.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - OB-GYN,R25-1009216,HEALTH CARE TECH II,US-Auxilliary Funding (CS),100,"$54,785.00",0
CU Anschutz,H0401 -- H-CSPH - Colo School Pub Hlth,H0410 -- H-CSPH-Centers & Institutes,CSPH-CHWE Gen ops,R25-1009219,PROFESSIONAL RESEARCH ASST,Research Faculty,100,"$56,000.00",1
CU Anschutz,H0132 -- H-CON-College of Nursing,H0147 -- H-CON-Dean College of Nursing,CON-DEAN ADMINISTRATION,R25-1009223,ASSISTANT TEACHING PROFESSOR,Regular Faculty,100,"$107,625.00",0
CU Anschutz,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0109 -- U-ADM-Chancellor Anschutz,ADM-CHAN Advancement Anschutz,R25-1009226,ADMIN ASSISTANT III,US-Auxilliary Funding (CS),100,"$66,087.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-OB/GYN GOH GENERAL OPS,R25-1009230,INSTRUCTOR,Regular Faculty,100,"$106,808.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH AD E&T Gen Ops,R25-1009269,INSTRUCTOR/FELLOW,Administrative Faculty,100,"$62,652.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS DEV PEDS-GENOPS,R25-1009273,TEMPORARY RESEARCHER,Research Faculty,2.5,"$2,080.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH AD E&T Gen Ops,R25-1009275,INSTRUCTOR/FELLOW,Administrative Faculty,100,"$62,652.00",0
CU Anschutz,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0109 -- U-ADM-Chancellor Anschutz,ADM AVC Comm Anschutz,R25-1009316,COMMUNICATION PROFESSIONAL,Univ Staff - Communication,100,"$68,675.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Critical Care-GenOps,R25-1009326,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,100,"$57,680.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-Health&Wellness FitnessCtr,R25-1009329,CUSTODIAN I,US-Auxilliary Funding (CS),100,"$41,303.00",0
,Page of 139,,,Page,,of 139,,,
CU Anschutz,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0109 -- U-ADM-Chancellor Anschutz,EVC CAO Administration,R25-1009331,BUSINESS SERVICES PROFESSIONAL,Univ Staff - Business Services,100,"$61,583.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-AN Adult GeneralOperations,R25-1009355,INSTRUCTOR,Regular Faculty,100,"$225,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-OTHR CLIN SVS-GEN OP,R25-1009361,INSTRUCTOR,Regular Faculty,90,"$80,742.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-AN Adult GeneralOperations,R25-1009367,INSTRUCTOR,Regular Faculty,100,"$225,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-AN Adult GeneralOperations,R25-1009368,INSTRUCTOR,Regular Faculty,90,"$204,930.00",0
CU Anschutz,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0109 -- U-ADM-Chancellor Anschutz,ADM-CHAN Advancement Anschutz,R25-1009370,DEVELOPMENT PROFESSIONAL,Univ Staff - Development,100,"$76,735.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-SP/G P3,R25-1009375,SENIOR INSTRUCTOR,Regular Faculty,100,"$139,393.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-BDC Basic Research,R25-1009378,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,652.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-Cell and Devopmental Bio,R25-1009380,SENIOR RESEARCH ASSOCIATE,Research Faculty,100,"$87,125.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-BIOMED Informatics Gen Ops,R25-1009383,RESEARCH SERVICES SENIOR PROF,Univ Staff - Research Services,100,"$63,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - RADIOLOGY,R25-1009433,DIAG PROCED TECHNOL III,US-Auxilliary Funding (CS),80,"$77,280.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-Child SP/G,R25-1009441,INSTRUCTOR/FELLOW,Administrative Faculty,100,"$61,428.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH AD E&T Gen Ops,R25-1009443,INSTRUCTOR/FELLOW,Administrative Faculty,100,"$61,428.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH AD E&T Gen Ops,R25-1009444,INSTRUCTOR/FELLOW,Administrative Faculty,100,"$62,652.00",0
CU Anschutz,H0401 -- H-CSPH - Colo School Pub Hlth,H0410 -- H-CSPH-Centers & Institutes,CSPH-CIDA Gen Ops,R25-1009457,BUSINESS SERVICES PRINCIPAL PR,Univ Staff - Business Services,100,"$73,800.00",0
CU Anschutz,U0006 -- U-ADM ADMINISTRATN AND FINANCE,U0107 -- U-ADM AF Executive VC,ADM AVCFM Infra Safety & Compl,R25-1009472,ELECTRONICS SPECIALIST I,Class Staff-Physical Sc & Engg,100,"$62,520.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-RAD GENERAL OPERATIONS,R25-1009474,CLINICAL ASSISTANT PROFESSOR,Clinical Faculty,2.5,"$11,375.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-NEUR GENERAL OPERATIONS,R25-1009484,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$55,500.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-BioChem&Molecular Genetics,R25-1009504,POST-DOCTORAL FELLOW,Other Faculty,100,"$69,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Neurology-GenOps,R25-1009520,ASSISTANT PROFESSOR,Regular Faculty,100,"$213,500.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN EO UME,R25-1009522,HR ENTRY PROFESSIONAL,Univ Staff - Human Resources,100,"$54,441.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-EM MED CLINICAL,R25-1009532,SENIOR INSTRUCTOR,Regular Faculty,100,"$277,137.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-ARTS SP/G,R25-1009538,HEALTH CARE PROFESSIONAL,Univ Staff - Healthcare,100,"$63,700.00",0
