campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1030506,IT MANAGER,Univ Staff - Information Tech.,100,"$119,406.00",0
System Administration,S0008 -- S-Office of President,50017 -- Office of the President,Office of the President,R25-1030576,VICE PRESIDENT,Univ Staff - Executive,100,"$240,402.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1030595,IT PRGM MGR,Univ Staff - Information Tech.,100,"$110,211.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1030647,ACADEMIC SERVICES SENIOR PROF,Univ Staff - Academic Services,100,"$79,551.00",0
System Administration,S0040 -- Univ Counsel/VIP,50057 -- University Counsel,University Counsel,R25-1030651,ASSISTANT COUNSEL,Univ Staff - Audit and Legal,100,"$142,636.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1030685,ACADEMIC SERVICES PROGRAM MGR,Univ Staff - Academic Services,100,"$110,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1030691,HR PRINCIPAL PRO,Univ Staff - Human Resources,100,"$75,000.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1030785,IT PROFESSIONAL,Univ Staff - Information Tech.,100,"$79,294.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1030851,IT DIRECTOR,Univ Staff - Information Tech.,100,"$190,472.00",0
System Administration,S0008 -- S-Office of President,50017 -- Office of the President,Office of the President,R25-1030867,PROFESSIONAL ASSISTANT,Univ Staff- Prof. Support Sr,100,"$90,131.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1030892,IT PRINCIPAL PROF,Univ Staff - Information Tech.,100,"$106,923.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1030905,VICE PRESIDENT,Univ Staff - Executive,100,"$343,715.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1030949,IT PROFESSIONAL,Univ Staff - Information Tech.,100,"$77,983.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1030973,IT PRGM MGR,Univ Staff - Information Tech.,100,"$80,000.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1031051,IT PROFESSIONAL,Univ Staff - Information Tech.,100,"$105,259.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1031121,IT PRGM MGR,Univ Staff - Information Tech.,100,"$118,821.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50030 -- VPBF-Procurement Center,Procurement Service Center,R25-1031128,BUSINESS SERVICES PRGM DIR,Univ Staff - Business Services,100,"$126,723.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1031171,HR PROFESSIONAL,Univ Staff - Human Resources,100,"$59,942.00",0
