campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
CU Boulder,B0122 -- B-Finance & Business Strategy,B0113 -- SVC-Infrastructure & Sustain,FM Outdoor Services,R25-1039071,GROUNDS & NURSERY III,"Class Staff-Labor,Trades&Crfts",100,"$73,848.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,JILA,R25-1039072,PROFESSIONAL RESEARCH ASST,Research Faculty,100,"$64,195.00",0
CU Boulder,B0206 -- B-Athletics,B0004 -- B-Intercollegiate Athletics,Athletics-Business Affairs,R25-1039077,CUSTODIAN I,"Class Staff-Labor,Trades&Crfts",100,"$49,992.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,College Engineering & App Sci,R25-1039082,ACADEMIC SERVICES PROGRAM MGR,Univ Staff - Academic Services,100,"$92,976.00",0
CU Boulder,"B0163 -- B-Chancellor, Boulder Campus",B0217 -- B-VC Strategic Relations,Strat Relations & Comms - MCS,R25-1039085,COMMUNICATION DIRECTOR,Univ Staff - Communication,100,"$124,994.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,College Engineering & App Sci,R25-1039094,RESEARCH SERVICES SENIOR PROF,Univ Staff - Research Services,100,"$82,202.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Physics,R25-1039096,FINANCE/ACCTG PROFESSIONAL,Univ Staff- Finance & Acct.,100,"$62,400.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Cinema Studies,R25-1039100,ACADEMIC SERVICES PROGRAM MGR,Univ Staff - Academic Services,100,"$72,554.00",0
CU Boulder,B0164 -- B-Provost & EVCAA-Acad Supp,B0157 -- VCAA-Office of VC,CTR TEACH LEARNING,R25-1039103,ACADEMIC SERVICES PRINCIPAL PR,Univ Staff - Academic Services,100,"$90,996.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Geography,R25-1039103,LECTURER-SECONDARY STAFF MBR,Other Faculty,25,"$8,040.00",1
CU Boulder,B0164 -- B-Provost & EVCAA-Acad Supp,B0086 -- B-VCAA-Libraries,Library Administration,R25-1039109,FINANCE/ACCTG PROFESSIONAL,Univ Staff- Finance & Acct.,100,"$64,500.00",0
,Page of 110,,,Page,,of 110,,,
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Ecology & Evolutionary Biology,R25-1039113,PROFESSOR,Regular Faculty,100,"$128,083.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0065 -- B-VCAA-College Business&Admin,Leeds-Budget & Administration,R25-1039117,FINANCE/ACCTG SENIOR PROF,Univ Staff- Finance & Acct.,100,"$73,632.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Physics,R25-1039119,RESEARCH ASSOCIATE,Research Faculty,10,"$8,256.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,Cltrl Connections & Community,R25-1039120,EXECUTIVE ASSISTANT,Univ Staff- Prof. Support Sr,100,"$70,132.00",1
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Applied Mathematics,R25-1039121,TEACHING PROFESSOR,Regular Faculty,75,"$104,511.00",1
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,Residence Life,R25-1039124,TECHNICIAN II,US-Auxilliary Funding (CS),100,"$53,002.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0085 -- B-VCAA-College of Music,College of Music,R25-1039129,LECTURER,Other Faculty,4,"$1,435.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0066 -- B-VCAA-School of Education,School of Education,R25-1039132,PROFESSOR,Regular Faculty,100,"$134,546.00",0
CU Boulder,B0122 -- B-Finance & Business Strategy,B0123 -- B-Budget & Finance,Campus Controller's Office,R25-1039140,FINANCE/ACCTG PRGM MGR,Univ Staff- Finance & Acct.,100,"$103,617.00",0
CU Boulder,"B0163 -- B-Chancellor, Boulder Campus",B0217 -- B-VC Strategic Relations,Strat Relations & Comms - SC,R25-1039141,COMMUNICATION DIRECTOR,Univ Staff - Communication,100,"$120,000.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0085 -- B-VCAA-College of Music,College of Music,R25-1039147,LECTURER,Other Faculty,71,"$24,396.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0065 -- B-VCAA-College Business&Admin,Leeds-Budget & Administration,R25-1039148,TEACHING PROFESSOR,Regular Faculty,100,"$147,276.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Psych-Psychology,R25-1039149,PROFESSOR,Regular Faculty,100,"$130,837.00",0
CU Boulder,B0206 -- B-Athletics,B0004 -- B-Intercollegiate Athletics,Athletics-Business Affairs,R25-1039151,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$103,473.00",0
CU Boulder,B0164 -- B-Provost & EVCAA-Acad Supp,B0086 -- B-VCAA-Libraries,Library Administration,R25-1039153,ACADEMIC SERVICES PROGRAM MGR,Univ Staff - Academic Services,100,"$66,553.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,Cltrl Connections & Community,R25-1039154,STUDENT SERVICES PRGM DIRECTOR,Univ Staff - Student Services,100,"$92,945.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,VC Student Life,R25-1039156,ASST DEAN,Univ Staff - Executive,100,"$128,500.00",0
CU Boulder,B0295 -- Health & Wellness Svcs,11285 -- HW Admin Services,HW Admin Services,R25-1039161,HEALTH CARE ASSOC DIR,Univ Staff - Healthcare,100,"$102,500.00",0
CU Boulder,B0164 -- B-Provost & EVCAA-Acad Supp,"B0012 -- B-VCAA-Undergrad Ed, Assoc.VC",Int'l Students & Scholars,R25-1039167,STUDENT SERVICE ASSOC DIRECTOR,Univ Staff - Student Services,100,"$99,840.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,"CivilEng-Civil,Env&Arch Engin",R25-1039169,RESEARCH ASSOCIATE,Research Faculty,60,"$69,236.00",1
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0065 -- B-VCAA-College Business&Admin,Leeds-Budget & Administration,R25-1039170,ACADEMIC SERVICES DIRECTOR,Univ Staff - Academic Services,100,"$109,200.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,"CivilEng-Civil,Env&Arch Engin",R25-1039171,SENIOR RESEARCH ASSOCIATE,Research Faculty,20,"$22,339.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,College Engineering & App Sci,R25-1039175,SENIOR RESEARCH ASSOCIATE,Research Faculty,50,"$58,433.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Linguistics,R25-1039176,PROFESSOR,Regular Faculty,100,"$141,184.00",0
CU Boulder,B0164 -- B-Provost & EVCAA-Acad Supp,B0086 -- B-VCAA-Libraries,Library Administration,R25-1039188,STUDENT SERVICES SPECIALIST II,Class Staff-Professional Srvce,100,"$66,120.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,Engin Dn-Integratd Teachng Lab,R25-1039189,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$98,800.00",0
CU Boulder,B0164 -- B-Provost & EVCAA-Acad Supp,"B0012 -- B-VCAA-Undergrad Ed, Assoc.VC","VCAA: UG ED, Advising Office",R25-1039192,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,100,"$58,930.00",0
CU Boulder,B0164 -- B-Provost & EVCAA-Acad Supp,B0086 -- B-VCAA-Libraries,Library Administration,R25-1039196,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,100,"$58,500.00",0
CU Boulder,"B0163 -- B-Chancellor, Boulder Campus",B0217 -- B-VC Strategic Relations,Strat Relations & Comms - SC,R25-1039198,COMMUNICATION SENIOR PROF,Univ Staff - Communication,100,"$94,694.00",0
