campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
UCCS,C0014 -- VCEMSA-Health & Wellness,40226 -- VCEMSA-Wellness Cent./HS&MHS,VCEMSA-Wellness Cent./HS&MHS,R25-1006478,HEALTH CARE PROFESSIONAL,Univ Staff - Healthcare,100,"$98,000.00",0
UCCS,C0041 -- VCAF-INFRASTRUCTURE AND SUSTAI,C0023 -- VCAF-Facilities,VCAF-FAC-ADMIN OP,R25-1006483,CUSTODIAN I,"Class Staff-Labor,Trades&Crfts",100,"$40,032.00",0
UCCS,C0038 -- VCAF-Admin Services,40117 -- VCAF-Facility Services,VCAF-Facility Services,R25-1006485,CUSTODIAN I,"Class Staff-Labor,Trades&Crfts",100,"$40,032.00",0
UCCS,C0041 -- VCAF-INFRASTRUCTURE AND SUSTAI,C0023 -- VCAF-Facilities,VCAF-FAC-ADMIN OP,R25-1006487,CUSTODIAN I,"Class Staff-Labor,Trades&Crfts",100,"$40,032.00",0
UCCS,C0041 -- VCAF-INFRASTRUCTURE AND SUSTAI,C0023 -- VCAF-Facilities,VCAF-FAC-ADMIN OP,R25-1006489,CUSTODIAN I,"Class Staff-Labor,Trades&Crfts",100,"$40,032.00",0
UCCS,C0038 -- VCAF-Admin Services,40117 -- VCAF-Facility Services,VCAF-Facility Services,R25-1006490,CUSTODIAN I,"Class Staff-Labor,Trades&Crfts",100,"$40,032.00",0
UCCS,C0041 -- VCAF-INFRASTRUCTURE AND SUSTAI,C0023 -- VCAF-Facilities,VCAF-FAC-ADMIN OP,R25-1006492,CUSTODIAN I,"Class Staff-Labor,Trades&Crfts",100,"$40,032.00",0
UCCS,40376 -- VCUA-Operations,,VCUA-Operations,R25-1006506,EXTERNAL RELATIONS PROGRAM MGR,Univ Staff- External Relations,100,"$60,000.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40076 -- LAS-Political Science,LAS-Political Science,R25-1006538,ASSISTANT PROFESSOR,Regular Faculty,100,"$64,000.00",0
UCCS,C0005 -- VCAF-Administration,C0024 -- VCAF-Resource Management,VCAF-RM-Human Resources,R25-1006549,HR PROFESSIONAL,Univ Staff - Human Resources,100,"$51,500.00",0
UCCS,C0029 -- VCEMSA-Admin Operations,C0040 -- VCSA-ACAD SUPPORT & ENGAGEMENT,VCEMSA-STU SPPT & ENGAGE ADMIN,R25-1006650,STUDENT SERVICES SR DIRECTOR,Univ Staff - Student Services,100,"$116,000.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40059 -- LAS-Music,LAS-Music,R25-1006654,LECTURER,Other Faculty,15,"$2,090.00",0
UCCS,C0003 -- Chancellor,40001 -- Chancellors Office,Chancellors Office,R25-1006738,VICE CHANCELLOR,Univ Staff - Executive,100,"$190,000.00",0
UCCS,C0018 -- AA-School of Public Affairs,40085 -- CPS Social Work,CPS Social Work,R25-1006742,LECTURER,Other Faculty,22.5,"$3,250.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40059 -- LAS-Music,LAS-Music,R25-1006756,LECTURER,Other Faculty,15,"$1,800.00",0
UCCS,C0021 -- VCEMSA-Athletics,40009 -- VCEMSA-Intercolleg Athletics,VCEMSA-Intercolleg Athletics,R25-1006809,ASST ATHLETIC COACH,Univ Staff - Athletics,100,"$40,000.00",0
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1006823,STANDARDIZED PATIENT,US-Auxilliary Funding (CS),2.5,$988.00,0
UCCS,C0038 -- VCAF-Admin Services,40117 -- VCAF-Facility Services,VCAF-Facility Services,R25-1006968,STRUCTURAL TRADES II,"Class Staff-Labor,Trades&Crfts",100,"$52,272.00",0
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1007040,LECTURER,Other Faculty,0.55,$175.00,0
UCCS,C0017 -- AA-College of Nursing,40399 -- Beth-El Clinic Operations,Beth-El Clinic Operations,R25-1007040,HEALTH CARE PROFESSIONAL,Univ Staff - Healthcare,2.5,"$2,574.00",1
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1007057,LECTURER,Other Faculty,15,$225.00,0
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1007057,LECTURER,Other Faculty,15,"$5,280.00",1
UCCS,C0039 -- VCAF-Auxiliary Services,40253 -- VCAF-Dining & Hospitality,VCAF-Dining & Hospitality,R25-1007073,FOOD SERVICE WORKER,US-Auxilliary Funding (CS),100,"$35,360.00",0
UCCS,C0039 -- VCAF-Auxiliary Services,40253 -- VCAF-Dining & Hospitality,VCAF-Dining & Hospitality,R25-1007074,LEAD FOOD SERVICE WORKER,US-Auxilliary Funding (CS),100,"$41,600.00",0
UCCS,C0039 -- VCAF-Auxiliary Services,40253 -- VCAF-Dining & Hospitality,VCAF-Dining & Hospitality,R25-1007075,LEAD FOOD SERVICE WORKER,US-Auxilliary Funding (CS),100,"$39,000.00",0
UCCS,C0007 -- AA-Administration,40020 -- AA-Sponsored Research,AA-Sponsored Research,R25-1007076,RESEARCH SERVICES SENIOR PROF,Univ Staff - Research Services,100,"$68,649.00",0
UCCS,C0039 -- VCAF-Auxiliary Services,40253 -- VCAF-Dining & Hospitality,VCAF-Dining & Hospitality,R25-1007077,LEAD FOOD SERVICE WORKER,US-Auxilliary Funding (CS),100,"$39,728.00",0
UCCS,C0035 -- VCEMSA-Enrollment Management,C0036 -- VCEMSA-Enrollment Mgmt Unit,VCEMSA-PCSSC,R25-1007121,PROGRAM ASSISTANT I,US-Auxilliary Funding (CS),100,"$51,000.00",0
